Sigla_Curso,Sigla_Requisito
IIC2233,IIC1103
IMT2200,IIC1103
IMT2200,MAT1207
IMT2210,IIC1103
IMT2210,MAT1107
IMT2210,MAT1207
MAT1610,MAT1107
IIC1253,IMT2210
IMT2220,MAT1610
IMT2220,IMT2210
IMT2230,MAT1610
IMT2230,IMT2210
ETI195,IMT2200
ETI195,IIC2233
IIC1253,IMT2210
IMT2220,MAT1610
IMT2220,IMT2210
IMT2230,MAT1610
IMT2230,IMT2210
ETI195,IMT2200
ETI195,IIC2233
EYP1025,IMT2200
EYP1025,IMT2230
IIC2133,IIC1253
IIC2133,IMT2233
IIC2413,IIC2233
IMT2250,IMT2210
IMT2250,IMT2220
EYP2114,EYP1025
IIC2613,EYP1025
IIC2613,IIC2233
IIC2440,IIC2413
IIC2440,IIC2133
EYP210I,EYP2114
EYP230I,EYP2114
IIC2O26,IIC1103
IIC2433,EYP2114
IIC2433,IMT2210
EYP211I,EYP2114
EYP280I,EYP2114
IMT2260,EYP2114
IMT2260,IMT2250
IMT2260,IMT2440
IMT2270,ETI194
IMT2270,IMT2250
IMT2270,IMT2260
IMT2270,EYP280I
